structure	structure_verbose	grew_pattern_sud	grew_pattern_ud
x 年 + y 月 + z 日	Structure of dates	pattern {DAY[form="日"];  MONTH[form="月"] ;YEAR [form="年"] }	pattern {  }
x 年 + y 月 + z 号	Structure of dates	pattern {DAY[form="号"];  MONTH[form="月"] ;YEAR [form="年"] }	pattern {  }
(Date and/or time of day +) x 点	Structure of times (basic)	pattern {HOUR[form="点", upos=NOUN]; }	pattern {  }
x 点 + 半	Structure of times (basic)	pattern {HOUR[form="点", upos=NOUN]; HOUR->HALF; HALF[form="半"]}	pattern {  }
Pronoun + Noun	"Expressing close possession without ""de"""	pattern { N[upos=NOUN|PROPN]; N-[mod]->POSSESS; POSSESS[upos=PRON|NOUN|PROPN]}	pattern {  }
Noun 1 + 的 + Noun 2	"Expressing possession with ""de"""	pattern { N[upos=NOUN|PROPN]; N-[mod]->DE; DE[form="的"]}	pattern {  }
[Missing Person / Thing] + 呢 ？	"Questions with ""ne"""	pattern { NE[form="呢"]}	pattern {  }
Command + 吧	"Suggestions with ""ba"""	pattern { BA[form="吧"]; GOV-[discourse]->BA}	pattern {  }
Subj. + 在 + Place	"Expressing existence in a place with ""zai"""	pattern { ZAI[form="在", upos=VERB];  ZAI-[1=comp]->PLACE; PLACE[upos=NOUN|PROPN]}	pattern {  }
Place + 有 + Obj.	"Expressing existence with ""you"""	pattern pattern { YOU[form="有", upos=VERB]; YOU-[1=comp]->NOUN; NOUN[upos=NOUN|PROPN]; YOU-[mod@loc]->PLACE;}	pattern {  }
Subj. + 有 + Obj.	"Expressing possession with ""you"""	pattern {  }	pattern {  }
Subj. + 叫 + [Name]	"Using the verb ""jiao"""	pattern {  }	pattern {  }
Subj. + 去 + [Place]	"Using the verb ""qu"""	pattern {  }	pattern {  }
Subj. + 去 + Verb	"Using the verb ""qu"""	pattern {  }	pattern {  }
Subj. + 姓 + [Surname]	"Using the verb ""xing"""	pattern {  }	pattern {  }
Subj. + 能 + Verb + Obj.	"Expressing ability or possibility with ""neng"""	pattern {  }	pattern {  }
Subj. + 会 + Verb + Obj.	"Expressing a learned skill with ""hui"""	pattern {  }	pattern {  }
Subj. + 不 + 会 + Verb + Obj.	"Expressing a learned skill with ""hui"""	pattern {  }	pattern {  }
Subj. + Time + 要 + Verb	"Expressing ""be going to"" with ""yao"""	pattern {  }	pattern {  }
Time + Subj. + 要 + Verb	"Expressing ""be going to"" with ""yao"""	pattern {  }	pattern {  }
Subj. + 可以 + Verb + Obj.	"Expressing permission with ""keyi"""	pattern {  }	pattern {  }
Subj. + 不 + 可以 + Verb + Obj.	"Expressing permission with ""keyi"""	pattern {  }	pattern {  }
Subj. + 要 + Verb + Obj.	"Wanting to do something with ""yao"""	pattern {  }	pattern {  }
Subj. + 怎么 + Verb + Obj.	"How to do something with ""zenme"""	pattern {  }	pattern {  }
Topic + 怎么 + Verb	"How to do something with ""zenme"""	pattern {  }	pattern {  }
Subj. + 没有 / 没 + Verb	"Negation of past actions with ""meiyou"""	pattern {  }	pattern {  }
不要 + Verb	"Negative commands with ""buyao"""	pattern {  }	pattern {  }
Noun 1 + 是 + Noun 2	"Connecting nouns with ""shi"""	pattern {  }	pattern {  }
太 + Adj. + 了	"Expressing ""excessively"" with ""tai"""	pattern {  }	pattern {  }
Noun + 很 + Adj.	"Simple ""noun + adjective"" sentences"	pattern {  }	pattern {  }
Verb + 不 + Verb	Affirmative-negative question	pattern {  }	pattern {  }
Subj. + Verb + 不 + Verb + Obj.	Affirmative-negative question	pattern {  }	pattern {  }
Adj. + 不 + Adj.	Affirmative-negative question	pattern {  }	pattern {  }
[First Character of Verb] + 不 + Verb	Affirmative-negative question	pattern {  }	pattern {  }
[First Character of Adj.] + 不 + Adj.	Affirmative-negative question	pattern {  }	pattern {  }
Subj. + 有 没有 + Obj.	Affirmative-negative question	pattern {  }	pattern {  }
Verb + 不 + Verb	"Tag questions with ""bu"""	pattern {  }	pattern {  }
⋯⋯， 好 / 对 / 是 / 可以 +  吗？	"Tag questions with ""ma"""	pattern {  }	pattern {  }
[Statement] + 吗 ？	"Yes-no questions with ""ma"""	pattern {  }	pattern {  }
Subj. + Number + 岁 + 半	"Age with ""sui"""	pattern {  }	pattern {  }
Adj. + 死了	"Negative adjectives with ""-si le"""	pattern {  }	pattern {  }
Subj. + 差不多	"Approximations with ""chabuduo"""	pattern {  }	pattern {  }
A + 跟 / 和 +  B + 差不多	"Approximations with ""chabuduo"""	pattern {  }	pattern {  }
差不多 + Adj. / Verb	"Approximations with ""chabuduo"""	pattern {  }	pattern {  }
差不多 ＋ [Quantity Phrase] / [Time Phrase]	"Approximations with ""chabuduo"""	pattern {  }	pattern {  }
Subj. + 都 + Verb + Obj.	"Emphasizing quantity with ""dou"""	pattern {  }	pattern {  }
Subj. + 在 + Verb + Obj.	"Expressing actions in progress with ""zai"""	pattern {  }	pattern {  }
Subj. + 正在 + Verb + Obj.	"Expressing actions in progress with ""zai"""	pattern {  }	pattern {  }
Subj. + 一直 + Predicate	"Expressing ""all along"" with ""yizhi"""	pattern {  }	pattern {  }
已经 + [Verb Phrase] + 了	"Expressing ""already"" with ""yijing"""	pattern {  }	pattern {  }
已经 + (很 +) Adj. + 了	"Expressing ""already"" with ""yijing"""	pattern {  }	pattern {  }
已经 + Time + 了	"Expressing ""already"" with ""yijing"""	pattern {  }	pattern {  }
已经 + 不 + Verb + 了	"Expressing ""already"" with ""yijing"""	pattern {  }	pattern {  }
Subj. + 总是 + Verb	"Expressing ""always"" with ""zongshi"""	pattern {  }	pattern {  }
总是 + Adv. + Adj.	"Expressing ""always"" with ""zongshi"""	pattern {  }	pattern {  }
Subj. + Verb + Obj. 1， 还 + Verb + Obj. 2	"Expressing ""and also"" with ""hai"""	pattern {  }	pattern {  }
Subj. + 刚 + Verb	"Expressing ""just"" with ""gang"""	pattern {  }	pattern {  }
Subj. + 刚 + Verb (+ Obj.)  + Duration	"Expressing ""just"" with ""gang"""	pattern {  }	pattern {  }
只 + Verb	"Expressing ""only"" with ""zhi"""	pattern {  }	pattern {  }
别 + Verb (+ Obj.)	"Negative commands with ""bie"""	pattern {  }	pattern {  }
Subj. + 多 + Adj. ?	"Asking about degree with ""duo"""	pattern {  }	pattern {  }
Noun 1 + 跟 / 和 + Noun 2 + 一样	"Basic comparisons with ""yiyang"""	pattern {  }	pattern {  }
Noun 1 + 跟 / 和 + Noun 2 + 一样 + Adj.	"Basic comparisons with ""yiyang"""	pattern {  }	pattern {  }
Subj. + 有一点(儿) + Adj.	"Expressing ""a little too"" with ""you dian"""	pattern {  }	pattern {  }
Subj. + 有点(儿) + Adj.	"Expressing ""a little too"" with ""you dian"""	pattern {  }	pattern {  }
更 + Adj.	"Expressing ""even more"" with ""geng"""	pattern {  }	pattern {  }
Time / Verb + 以后, ....	"After a specific time with ""yihou"""	pattern {  }	pattern {  }
几 + Measure Word + Noun	"Using ""ji"" to mean ""several"""	pattern {  }	pattern {  }
好几 + Measure Word + Noun	"Using ""ji"" to mean ""several"""	pattern {  }	pattern {  }
Subj. + Adj. + 了	"Change of state with ""le"""	pattern {  }	pattern {  }
Subj. + Verb + 了	"Change of state with ""le"""	pattern {  }	pattern {  }
Subj. + 不 + Verb + 了	"Change of state with ""le"""	pattern {  }	pattern {  }
Subj. + Verb + 了	"Expressing completion with ""le"""	pattern {  }	pattern {  }
Subj. + Time + Verb + 了 + Obj.	"Expressing completion with ""le"""	pattern {  }	pattern {  }
Time + Subj. + Verb + 了 + Obj.	"Expressing completion with ""le"""	pattern {  }	pattern {  }
Subj. + Verb + 了 + [Number + Measure Word] + Obj.	"Expressing completion with ""le"""	pattern {  }	pattern {  }
Subj. + Verb + Obj. + 了	"Expressing completion with ""le"""	pattern {  }	pattern {  }
Subj. + 来 / 去 + Place + Verb / [Verb Phrase] + 了	"Expressing completion with ""le"""	pattern {  }	pattern {  }
[New Situation] + 了	"Expressing ""now"" with ""le"""	pattern {  }	pattern {  }
Statement + 呢	"Modal particle ""ne"""	pattern {  }	pattern {  }
Subj. + 要 + Verb	"Auxiliary verb ""yao"" and its multiple meanings"	pattern {  }	pattern {  }
Subj. + 会 + Verb + Obj.	"Expressing ""will"" with ""hui"""	pattern {  }	pattern {  }
Subj. + 不 + 会 + Verb + Obj.	"Expressing ""will"" with ""hui"""	pattern {  }	pattern {  }
Subj. + 想 + Verb (+ Obj.)	"Expressing ""would like to"" with ""xiang"""	pattern {  }	pattern {  }
Subj. + 不 + 想 + Verb + Obj.	"Expressing ""would like to"" with ""xiang"""	pattern {  }	pattern {  }
Subj. + 到 + Place + Verb Phrase	"Using ""dao"" to mean ""to go to"""	pattern {  }	pattern {  }
Subj. + Verb + 完 + 了	"Result complement ""-wan"" for finishing"	pattern {  }	pattern {  }
Subj. + Verb + 完 + Obj. + 了	"Result complement ""-wan"" for finishing"	pattern {  }	pattern {  }
快 + Adj. + 了	"Expressing ""about to happen"" with ""le"""	pattern {  }	pattern {  }
Subj. + 要 + Verb / Adj. + 了	"Expressing ""about to happen"" with ""le"""	pattern {  }	pattern {  }
Topic (+ Subj.) + 什么 + 都 / 也 + Verb / Adj.	"Expressing ""everything"" with ""shenme dou"""	pattern {  }	pattern {  }
什么 + Noun + 都 + Verb	"Expressing ""everything"" with ""shenme dou"""	pattern {  }	pattern {  }
什么 + Noun + 都 / 也 + 没 (有) + Verb	"Expressing ""everything"" with ""shenme dou"""	pattern {  }	pattern {  }
在 + Place	"Expressing location with ""zai... shang / xia / li"""	pattern {  }	pattern {  }
别 + Verb / [Verb Phrase] + 了	"Expressing ""stop doing"" with ""bie… le"""	pattern {  }	pattern {  }
A 比 B + 更 + Adj.	"Expressing ""even more"" with ""geng"""	pattern {  }	pattern {  }
(Subj.) + Verb / Adj. + 的 时候, ....	"Expressing ""when"" with ""de shihou"""	pattern {  }	pattern {  }
以后 + Subj. + Verb + Obj.	"In the future in general with ""yihou"""	pattern {  }	pattern {  }
Subj. + 以后 + Verb + Obj.	"In the future in general with ""yihou"""	pattern {  }	pattern {  }
Number + (Number + 1)	Approximating with sequential numbers	pattern {  }	pattern {  }
x 点 零 y 分	Structure of times (advanced)	pattern {  }	pattern {  }
x 点 y 分	Structure of times (advanced)	pattern {  }	pattern {  }
x 点 y 刻	Structure of times (advanced)	pattern {  }	pattern {  }
几 + 十 + Measure Word + Noun	"Using ""ji"" to mean ""several"""	pattern {  }	pattern {  }
几 + 百 / 千 / 万 + Measure Word + Noun	"Using ""ji"" to mean ""several"""	pattern {  }	pattern {  }
Subj. + Verb + 过 + Obj.	"Expressing experiences with ""guo"""	pattern {  }	pattern {  }
Subj. + 没 + Verb + 过 + Obj.	"Expressing experiences with ""guo"""	pattern {  }	pattern {  }
不 + [Verb Phrase] + 了	"Expressing ""not anymore"" with ""le"""	pattern {  }	pattern {  }
没(有) + [Noun Phrase] + 了	"Expressing ""not anymore"" with ""le"""	pattern {  }	pattern {  }
已经 + 不 + [Verb Phrase] + 了	"Expressing ""not anymore"" with ""le"""	pattern {  }	pattern {  }
Statement + 吧	"Softening speech with ""ba"""	pattern {  }	pattern {  }
的 + Noun	"Structural particle ""de"""	pattern {  }	pattern {  }
Verb + 得	"Structural particle ""de"""	pattern {  }	pattern {  }
Verb + 过 + Obj. + 了	"Using ""guo"" with ""le"""	pattern {  }	pattern {  }
Noun 1 + 比 + Noun 2 + Adj.	"Basic comparisons with ""bi"""	pattern {  }	pattern {  }
Noun 1 + 比 + Noun 2 + 更 + Adj.	"Basic comparisons with ""bi"""	pattern {  }	pattern {  }
Noun 1 + 没有 + Noun 2 + Adj.	"Basic comparisons with ""meiyou"""	pattern {  }	pattern {  }
来 / 去 + Place	"Directional verbs ""lai"" and ""qu"""	pattern {  }	pattern {  }
请 + Verb	"Polite requests with ""qing"""	pattern {  }	pattern {  }
请 (+ 你) + Verb Phrase	"Polite requests with ""qing"""	pattern {  }	pattern {  }
Subj. + 要 + Noun	"Auxiliary verb ""yao"" and its multiple meanings"	pattern {  }	pattern {  }
Subj. + 应该 + Verb + Obj.	"Expressing ""should"" with ""yinggai"""	pattern {  }	pattern {  }
Subj. + 不 + 应该 + Verb + Obj.	"Expressing ""should"" with ""yinggai"""	pattern {  }	pattern {  }
Subj. + 很 + [Certain Verbs]	"Special verbs with ""hen"""	pattern {  }	pattern {  }
Subj. + 刚刚 + Verb	"Expressing ""just"" with ""gang"""	pattern {  }	pattern {  }
Subj. + (很) 好 + Verb	"Using ""hao"" to mean ""easy"""	pattern {  }	pattern {  }
Subj. + Verb + 一下 + Obj.	"Verbing briefly with ""yixia"""	pattern {  }	pattern {  }
Subj. + Verb + [Indirect Obj.] + [Direct Obj.]	Verbs that take double objects	pattern {  }	pattern {  }
Subj. +  Verb + 不懂	"Potential complement ""-bu dong"" for not understanding"	pattern {  }	pattern {  }
只 + 会 / 能 + Verb	"Expressing ""only"" with ""zhi"""	pattern {  }	pattern {  }
..., 就 + Verb Phrase	"Expressing ""then"" with ""jiu"""	pattern {  }	pattern {  }
Subj. + 一边 + Verb (，) + 一边 + Verb	"Simultaneous tasks with ""yibian"""	pattern {  }	pattern {  }
Subj. + 又 + Adj. 1 + 又 + Adj. 2	"Expressing ""both A and B"" with ""you"""	pattern {  }	pattern {  }
Place 1 + 离 + Place 2 + Adv. + 近 / 远	"Expressing distance with ""li"""	pattern {  }	pattern {  }
Place 1 + 离 + Place 2 (+ Adv.) + 近 / 远 + 吗？	"Expressing distance with ""li"""	pattern {  }	pattern {  }
Place 1 + 离 + Place 2 (+ 有) + 多远？	"Expressing distance with ""li"""	pattern {  }	pattern {  }
Subj. + 不太 + Adj.	"Expressing ""not very"" with ""bu tai"""	pattern {  }	pattern {  }
Subj. + 不太 + Verb	"Expressing ""not very"" with ""bu tai"""	pattern {  }	pattern {  }
真 + Adj.	"Expressing ""really"" with ""zhen"""	pattern {  }	pattern {  }
真 + Verb	"Expressing ""really"" with ""zhen"""	pattern {  }	pattern {  }
Subj. + 多 + Adj.	"Intensifying with ""duo"""	pattern {  }	pattern {  }
Subj. + 还 + 好 / 可以 / 行 / 不错	"Moderating positive adjectives with ""hai"""	pattern {  }	pattern {  }
Adj. + 的 + Noun	"Modifying nouns with adjective + ""de"""	pattern {  }	pattern {  }
Phrase + 的 + Noun	"Modifying nouns with phrase + ""de"""	pattern {  }	pattern {  }
Phrase + 的	"Modifying nouns with phrase + ""de"""	pattern {  }	pattern {  }
最 + Adj.	"Superlative ""zui"""	pattern {  }	pattern {  }
最 + Adj. (+ 了)	"Superlative ""zui"""	pattern {  }	pattern {  }
最 + [Psychological Verb] + Obj. (+ 了)	"Superlative ""zui"""	pattern {  }	pattern {  }
Possibility 1 + 或者 + Possibility 2	"Expressing ""or"" in statements"	pattern {  }	pattern {  }
Subj. + 跟 + Person + Verb + Obj.	"Expressing ""with"" with ""gen"""	pattern {  }	pattern {  }
Subj. + 跟 + Person + 一起 + Verb + Obj.	"Expressing ""with"" with ""gen"""	pattern {  }	pattern {  }
(那个⋯⋯) (那个⋯⋯) + [anything] + (那个⋯⋯)	"The filler word ""neige"""	pattern {  }	pattern {  }
Statement， 可是 / 但是 + [Contrary Statement]	"Two words for ""but"""	pattern {  }	pattern {  }
Time / Verb + 以前 ，⋯⋯	"Before a specific time with ""yiqian"""	pattern {  }	pattern {  }
以前 + Subj. + Verb + Obj.	"Expressing ""before"" in general with ""yiqian"""	pattern {  }	pattern {  }
Subj. + 以前 + Verb + Obj.	"Expressing ""before"" in general with ""yiqian"""	pattern {  }	pattern {  }
刚才 + Verb	"Expressing ""just now"" with ""gangcai"""	pattern {  }	pattern {  }
Time Word + 的 时候, ....	"Expressing ""when"" with ""de shihou"""	pattern {  }	pattern {  }
Time + Subj. + Verb + Obj.	Time words and word order	pattern {  }	pattern {  }
Subj. + Time + Verb + Obj.	Time words and word order	pattern {  }	pattern {  }
差 + Minutes + 分 + Hour + 点	Structure of times (advanced)	pattern {  }	pattern {  }
Hour + 点 + 差 + Minutes + 分	Structure of times (advanced)	pattern {  }	pattern {  }
已经 + 没(有) + [Noun Phrase] + 了	"Expressing ""not anymore"" with ""le"""	pattern {  }	pattern {  }
Adj. + 地 +  Verb	"Structural particle ""de"""	pattern {  }	pattern {  }
Verb + 过 + 了	"Using ""guo"" with ""le"""	pattern {  }	pattern {  }
从 + Time 1 + 到 + Time 2	"Expressing ""from… to…"" with ""cong… dao…"""	pattern {  }	pattern {  }
从 + Place 1 + 到 + Place 2	"Expressing ""from… to…"" with ""cong… dao…"""	pattern {  }	pattern {  }
Subj. + [Verb Phrase 1] + [Verb Phrase 2]	Actions in a row	pattern {  }	pattern {  }
Subj. + (很) 难 + Verb	"Expressing ""difficult"" with ""nan"""	pattern {  }	pattern {  }
Subj. + (很) 难 + [Sense Verb]	"Expressing ""difficult"" with ""nan"""	pattern {  }	pattern {  }
Subj. + Verb + 了 + Duration + Obj.	"Expressing duration with ""le"""	pattern {  }	pattern {  }
Subj. + Verb + 了 + Duration + 的 + Obj.	"Expressing duration with ""le"""	pattern {  }	pattern {  }
Subj. + [Time Word] + Verb + 了 + Duration + Obj.	"Expressing duration with ""le"""	pattern {  }	pattern {  }
Subj. + 从来 + 不 + [Verb Phrase]	"Expressing ""never"" with ""conglai"""	pattern {  }	pattern {  }
Subj. + 从来 + 没(有) + Verb + 过	"Expressing ""never"" with ""conglai"""	pattern {  }	pattern {  }
Subj. + Verb + 了 + Duration + 了	"Expressing ongoing duration with double ""le"""	pattern {  }	pattern {  }
Subj. + Verb + Obj. + Verb + 了 + Duration + 了	"Expressing ongoing duration with double ""le"""	pattern {  }	pattern {  }
Subj. + 一起 + Verb + Obj.	"Expressing ""together"" with ""yiqi"""	pattern {  }	pattern {  }
Subj. + 没办法 + Verb + Obj.	"Inability with ""mei banfa"""	pattern {  }	pattern {  }
Subj. + 在 + Place + Verb + Obj.	"Indicating location with ""zai"" before verbs"	pattern {  }	pattern {  }
Subj. + Verb + Verb	Reduplication of verbs	pattern {  }	pattern {  }
Verb + 一 + Verb	Reduplication of verbs	pattern {  }	pattern {  }
Subj. + [Special Verb] + 在 + Location	"Special cases of ""zai"" following verbs"	pattern {  }	pattern {  }
Subj. + 到 + Place	"Using ""dao"" to mean ""to go to"""	pattern {  }	pattern {  }
到 + Place + 来 / 去	"Using ""dao"" to mean ""to go to"""	pattern {  }	pattern {  }
好 + Verb	"Using ""hao"" to mean ""easy"""	pattern {  }	pattern {  }
Subj. + Verb + 到 + Obj.	"Result complements ""-dao"" and ""-jian"""	pattern {  }	pattern {  }
Subj. + Verb + 见 + Obj.	"Result complements ""-dao"" and ""-jian"""	pattern {  }	pattern {  }
Subj. + 没 + Verb + 到 / 见 + Obj.	"Result complements ""-dao"" and ""-jian"""	pattern {  }	pattern {  }
Subj. + Verb + 完	"Result complement ""-wan"" for finishing"	pattern {  }	pattern {  }
一些 + Noun	"Expressing ""some"" with ""yixie"""	pattern {  }	pattern {  }
有的 + (Subj.) + Predicate， 有的 + (Subj.) + Predicate	"Using ""youde"" to mean ""some"""	pattern {  }	pattern {  }
Subj. + 多少钱 ?	Counting money	pattern {  }	pattern {  }
Number + 块 + Number + 毛	Counting money	pattern {  }	pattern {  }
每 + Measure Word + Noun + 都	"Expressing ""every"" with ""mei"""	pattern {  }	pattern {  }
半 + Measure Word + Noun	"Expressing ""half"" with ""ban"""	pattern {  }	pattern {  }
Number + Measure Word + 半 + Noun	"Expressing ""half"" with ""ban"""	pattern {  }	pattern {  }
半 + 天 / 年	"Expressing ""half"" with ""ban"""	pattern {  }	pattern {  }
Number + 天 / 年 + 半	"Expressing ""half"" with ""ban"""	pattern {  }	pattern {  }
Number + Measure Word + Noun	Measure words for counting	pattern {  }	pattern {  }
Subj. + Verb + 几 + Measure Word + Noun？	Measure words in quantity questions	pattern {  }	pattern {  }
Subj. + Verb + 多少 + Measure Word + Noun ？	Measure words in quantity questions	pattern {  }	pattern {  }
这 / 那 + Measure Word + Noun	"Measure words with ""this"" and ""that"""	pattern {  }	pattern {  }
第 + Number	"Ordinal numbers with ""di"""	pattern {  }	pattern {  }
第 + Number + Measure Word + Noun	"Ordinal numbers with ""di"""	pattern {  }	pattern {  }
Subj. + 怎么样 ?	"Asking how something is with ""zenmeyang"""	pattern {  }	pattern {  }
你 觉得 + Topic + 怎么样 ?	"Asking how something is with ""zenmeyang"""	pattern {  }	pattern {  }
Subj. + 怎么 + Verb + Obj. ?	"Asking why with ""zenme"""	pattern {  }	pattern {  }
Subj. + 怎么 (+ 不) + Adj.	"Asking why with ""zenme"""	pattern {  }	pattern {  }
Subj. + 怎么 + 这么 / 那么 + Adj.	"Asking why with ""zenme"""	pattern {  }	pattern {  }
Subj. + Verb + Obj. + 了吗?	"Questions with ""le ma"""	pattern {  }	pattern {  }
Topic (+ Subj.) + Verb + 了吗?	"Questions with ""le ma"""	pattern {  }	pattern {  }
Result, 因为 + Reason	"Cause and effect with ""yinwei"" and ""suoyi"""	pattern {  }	pattern {  }
Reason, 所以 + Result	"Cause and effect with ""yinwei"" and ""suoyi"""	pattern {  }	pattern {  }
因为 + Cause, 所以 + Effect	"Cause and effect with ""yinwei"" and ""suoyi"""	pattern {  }	pattern {  }
快+ Verb + 了	"Expressing ""about to happen"" with ""le"""	pattern {  }	pattern {  }
快要 + Verb + 了	"Expressing ""about to happen"" with ""le"""	pattern {  }	pattern {  }
什么 + Noun + 都 / 也 + 不 + Verb	"Expressing ""everything"" with ""shenme dou"""	pattern {  }	pattern {  }
在 + Location+ 上 / 下 / 里 / 旁边	"Expressing location with ""zai... shang / xia / li"""	pattern {  }	pattern {  }
在 + Occasion + 上	"Expressing location with ""zai... shang / xia / li"""	pattern {  }	pattern {  }
Subj. + Adj. + 极了	"Adjectives with ""-ji le"""	pattern {  }	pattern {  }
Subj. + 不 / 没 + 全都 + Predicate	"Indicating the whole with ""quan"""	pattern {  }	pattern {  }
Adj. + Adj. + 的 (+ Noun)	Reduplication of adjectives	pattern {  }	pattern {  }
Subj. + 正好 + [Verb Phrase]	"Coincidence with ""zhenghao"""	pattern {  }	pattern {  }
(让 +) Subj. + 来	"Using ""lai"" as a dummy verb"	pattern {  }	pattern {  }
Subj. + 把 + Obj. + Verb + 给 + Recipient	"Verbs followed by ""gei"""	pattern {  }	pattern {  }
Subj. + Verb + 得 + Complement	Potential complement	pattern {  }	pattern {  }
Subj. + 被 (+ Doer) + Verb + 了	"Using ""bei"" sentences"	pattern {  }	pattern {  }
Subj. + 比较 + Adj.	"Expressing ""rather"" with ""bijiao"""	pattern {  }	pattern {  }
Subj. + 比较 + [Verb Phrase]	"Expressing ""rather"" with ""bijiao"""	pattern {  }	pattern {  }
Reason / Situation ，要不 + Suggestion	"Expressing ""how about"" with ""yaobu"""	pattern {  }	pattern {  }
A + 比 + B + Adj. + Number + 倍	"Expressing ""multiples"" with ""bei"""	pattern {  }	pattern {  }
Word + 来说	"Phrases using ""laishuo"""	pattern {  }	pattern {  }
Noun 1 + 比 + Noun 2 + 更 / 还 + Adj.	"Expressing ""even more"" with ""geng"" or ""hai"""	pattern {  }	pattern {  }
Noun 1 + 比 + Noun 2 + Adj. + 很多 / 得多 / 多了	"Expressing ""much more"" in comparisons"	pattern {  }	pattern {  }
Subj. + 不怎么 + Adj. / [Psychological Verb]	"Expressing ""not very"" with ""bu zenme"""	pattern {  }	pattern {  }
全 + Noun + 都 + Predicate	"Indicating the whole with ""quan"""	pattern {  }	pattern {  }
Subj. + 全都 + Predicate	"Indicating the whole with ""quan"""	pattern {  }	pattern {  }
Subj. + 全都 + 不 / 没 + Predicate	"Indicating the whole with ""quan"""	pattern {  }	pattern {  }
A A + 的 (+ Noun)	Reduplication of adjectives	pattern {  }	pattern {  }
A  A  B  B  + 的 (+ Noun)	Reduplication of adjectives	pattern {  }	pattern {  }
AABB + 地 + Verb	Reduplication of adjectives	pattern {  }	pattern {  }
Subj. + ABAB	Reduplication of adjectives	pattern {  }	pattern {  }
Subj. + AB + 一下	Reduplication of adjectives	pattern {  }	pattern {  }
Subj. + Adj. + 地 + Verb	Turning adjectives into adverbs	pattern {  }	pattern {  }
Subj. + 还在 + [Verb Phrase]	"Continuation with ""hai"""	pattern {  }	pattern {  }
⋯⋯ ，(但是 / 可是 +) Subj. + 还是 + [Verb Phrase]	"Continuation with ""hai"""	pattern {  }	pattern {  }
Subj. + 还 + 不 / 没 + [Verb Phrase]	"Continuation with ""hai"""	pattern {  }	pattern {  }
就是 + Noun	"Emphasis with ""jiushi"""	pattern {  }	pattern {  }
就(是) + (不) + Verb	"Emphasis with ""jiushi"""	pattern {  }	pattern {  }
又 + 不 / 没 + Predicate	"Emphasizing negation with ""you"""	pattern {  }	pattern {  }
(Subj. +) 就要 + Verb + 了 (，⋯⋯)	"Expressing ""about to"" with ""jiuyao"""	pattern {  }	pattern {  }
还有 + Time (+ Subj.) + 就 (要) + Verb + 了	"Expressing ""about to"" with ""jiuyao"""	pattern {  }	pattern {  }
Subj. + 再 + [Verb Phrase]	"Expressing ""again"" in the future with ""zai"""	pattern {  }	pattern {  }
Subj. + 再 + Verb + Obj.	"Expressing ""again"" in the future with ""zai"""	pattern {  }	pattern {  }
Subj. + 再 + Verb + Verb	"Expressing ""again"" in the future with ""zai"""	pattern {  }	pattern {  }
(Subj. +) 又 + Verb + 了	"Expressing ""again"" in the past with ""you"""	pattern {  }	pattern {  }
(Subj. +) 又 + 不 / 没 + Verb	"Expressing ""again"" in the past with ""you"""	pattern {  }	pattern {  }
原来 + 的 + Noun	"Expressing ""all along"" with ""yuanlai"""	pattern {  }	pattern {  }
